Date,ppo_strategy,a2c_strategy,ddpg_strategy,ensemble_strategy,SSE 50 Index
2018/8/23,-0.003556337,0.00849604,0.006974228,0.006974228,0.004454251
2018/8/24,0.02711283,0.022962853,0.023071509,0.023071509,0.004441813
2018/8/27,-0.006836719,-0.001939108,-0.007584549,-0.007584549,0.020364329
2018/8/28,0.002821033,-0.00111764,-3.76E-05,-3.76E-05,-0.004438062
2018/8/29,-0.012470465,-0.021929305,-0.019371189,-0.019371189,-0.003052432
2018/8/30,-0.015475041,-0.004250644,-0.002970451,-0.002970451,-0.009694745
2018/8/31,0.003238454,-0.003907871,-0.004134728,-0.004134728,-0.001909076
2018/9/3,0.010575507,0.008485088,0.00857742,0.00857742,-0.003474189
2018/9/4,-0.022447686,-0.023796722,-0.027006102,-0.027006102,0.014014431
2018/9/5,-0.012964002,-0.009149318,-0.008539393,-0.008539393,-0.023678935
2018/9/6,0.007007598,0.014438292,0.010563193,0.010563193,-0.010321478
2018/9/7,-0.011216967,-0.015201342,-0.026300077,-0.026300077,0.00895857
2018/9/10,4.62E-05,-0.003548407,-0.015331978,-0.015331978,-0.009948488
2018/9/11,-0.014011278,-0.015833052,-0.013115297,-0.013115297,-0.006073524
2018/9/12,0.005986753,-0.005024152,-0.004461267,-0.004461267,-0.007245178
2018/9/13,0.005060575,-0.006243664,-0.004925315,-0.004925315,0.014245136
2018/9/14,-0.003511363,-0.019684173,-0.016058326,-0.016058326,0.004185506
2018/9/17,0.023858447,0.026058073,0.0393463,0.0393463,-0.010530173
2018/9/18,0.016992192,0.014437416,0.01153826,0.01153826,0.02453747
2018/9/19,-0.002269808,0.001504213,0.007545154,0.007545154,0.011513654
2018/9/20,0.033031795,0.039954274,0.032196075,0.032196075,0.000138797
2018/9/21,-0.006191293,-0.008111215,-0.006421808,-0.006421808,0.03464663
2018/9/25,0.029356761,0.022554525,0.018307824,0.018307824,-0.010029519
2018/9/26,-0.001497724,4.99E-05,0.003020185,0.003020185,0.013727774
2018/9/27,0.007398166,0.007959666,0.003315015,0.003315015,-0.002833435
2018/9/28,-0.051325913,-0.049033778,-0.051800715,-0.051800715,0.012121811
2018/10/8,0.004653935,-0.001603877,-0.004746885,-0.004746885,-0.04597648
2018/10/9,-0.016032889,-0.000145114,0.005602069,0.005602069,0.0019465
2018/10/10,-0.036638907,-0.039706082,-0.042334338,-0.042334338,0.000960403
2018/10/11,0.024157166,0.022055108,0.032633393,0.032633393,-0.041520041
2018/10/12,-0.008088822,-0.008479854,-0.012706107,-0.012706107,0.022433777
2018/10/15,0.00259826,0.005607789,-0.003295908,-0.003295908,-0.012949963
2018/10/16,0.001556727,0.002582696,0.006358231,0.006358231,0.001248881
2018/10/17,-0.026203127,-0.03518811,-0.036753964,-0.036753964,0.005681037
2018/10/18,0.036172532,0.035689827,0.030077567,0.030077567,-0.024759691
2018/10/19,0.045206196,0.054119725,0.053135682,0.053135682,0.032608479
2018/10/22,-0.04745137,-0.027038269,-0.037068461,-0.037068461,0.038356599
2018/10/23,0.00073126,0.002111884,-0.006746544,-0.006746544,-0.029659799
2018/10/24,-0.006433633,0.002098953,-0.017007841,-0.017007841,0.00514303
2018/10/25,-0.01307427,-0.007681552,-0.001332929,-0.001332929,0.003071821
2018/10/26,-0.056266468,-0.038772247,-0.027889732,-0.027889732,-0.00651447
2018/10/29,-0.005894567,0.014949948,0.00948393,0.00948393,-0.032132809
2018/10/30,0.025225145,0.023246828,0.039903923,0.039903923,0.010910678
2018/10/31,0.010546053,0.00548746,0.013379306,0.013379306,0.014684338
2018/11/1,0.04135628,0.046113417,0.044773283,0.044773283,0.003688598
2018/11/2,-0.018414716,-0.010351182,-0.009494718,-0.009494718,0.033577506
2018/11/5,-0.007681652,-0.004248871,-0.003123506,-0.003123506,-0.012261559
2018/11/6,-0.008064214,-0.010762194,-0.007761621,-0.007761621,-0.004742176
2018/11/7,0.001094509,0.005298258,0.005343419,0.005343419,-0.00693889
2018/11/8,-0.016761263,-0.025803554,-0.021721333,-0.021721333,0.001475829
2018/11/9,0.000136981,0.005447036,0.010603065,0.010603065,-0.020830992
2018/11/12,0.014446985,0.005523397,0.003017742,0.003017742,0.004418391
2018/11/13,-0.016914079,-0.014009417,-0.008032777,-0.008032777,0.007364229
2018/11/14,0.013427215,0.012390735,0.011318621,0.011318621,-0.013393125
2018/11/15,-0.001456251,-0.006493815,-0.022880197,-0.022880197,0.011998178
2018/11/16,0.011128182,0.012015506,0.002661662,0.002661662,0.000936668
2018/11/19,-0.019918873,-0.019873145,-0.01509921,-0.01509921,0.012447853
2018/11/20,-0.000198559,0.001812455,0.002405383,0.002405383,-0.018174787
2018/11/21,-0.003037084,-0.004654603,-0.005229942,-0.005229942,0.00183146
2018/11/22,-0.016675442,-0.016399701,-0.017145776,-0.017145776,-0.005561846
2018/11/23,-0.002122863,0.004839704,0.00521404,0.00521404,-0.015767759
2018/11/26,-0.003043088,-0.003469351,-0.003219266,-0.003219266,0.001123373
2018/11/27,0.013289162,0.014489621,0.014193389,0.014193389,-0.003165622
2018/11/28,-0.007728283,-0.004230125,-0.004204659,-0.004204659,0.011209691
2018/11/29,0.0139064,0.011191993,0.013454646,0.013454646,-0.007963708
2018/11/30,0.036309498,0.028681317,0.02447071,0.02447071,0.010904958
2018/12/3,0.000482156,0.000895443,-0.005355236,-0.005355236,0.024716269
2018/12/4,-0.001112582,-0.005708991,-0.008740502,-0.008740502,0.003249846
2018/12/5,-0.023957826,-0.026287362,-0.03168483,-0.03168483,-0.005749191
2018/12/6,-0.008542753,-0.015944724,-0.021421897,-0.021421897,-0.019059174
2018/12/7,-0.006695926,-0.004251846,-0.00313741,-0.00313741,-0.001547962
2018/12/10,0.004890832,0.00647002,0.006665533,0.006665533,-0.00909853
2018/12/11,0.002452803,-0.001245856,-0.002047147,-0.002047147,0.002894371
2018/12/12,0.014450663,0.012703278,0.022660267,0.022660267,0.003204244
2018/12/13,-0.014403219,-0.014836519,-0.014745837,-0.014745837,0.014272499
2018/12/14,0.001500088,0.000530253,-0.001154371,-0.001154371,-0.014045785
2018/12/17,-0.008119411,-0.010333892,-0.013607911,-0.013607911,0.001057696
2018/12/18,-0.012076624,-0.019601894,-0.013151953,-0.013151953,-0.011573636
2018/12/19,-0.010265228,-0.01941449,-0.018459218,-0.018459218,-0.011810202
2018/12/20,-0.01454256,-0.0196984,-0.026113973,-0.026113973,-0.014613165
2018/12/21,0.003881753,0.007733599,0.019228983,0.019228983,-0.012324439
2018/12/24,-0.009860898,-0.01080982,-0.011753312,-0.011753312,0.001338858
2018/12/25,-0.007027716,-0.011251373,-0.009015922,-0.009015922,-0.00515327
2018/12/26,-0.003389277,-0.003176874,-0.002936202,-0.002936202,-0.006866529
2018/12/27,0.00694034,0.007952599,0.007030883,0.007030883,-0.002410984
2018/12/28,-0.012685382,-0.018283312,-0.012815378,-0.012815378,0.007487246
2019/1/2,-0.000992656,-0.000546758,-0.019204303,-0.019204303,-0.01321692
2019/1/3,0.025399015,0.026838694,0.029068887,0.029068887,0.002851435
2019/1/4,-0.002785807,-0.003465919,0.00119832,0.00119832,0.020008258
2019/1/7,-0.005250203,-0.006559861,0.000227236,0.000227236,-0.000141404
2019/1/8,0.01744643,0.017164745,0.014788175,0.014788175,-0.003952998
2019/1/9,-0.001589013,0.001803941,0.00481006,0.00481006,0.011950698
2019/1/10,0.009858589,0.012630229,0.005817469,0.005817469,-0.000372312
2019/1/11,-0.011605807,-0.008894885,-0.00945771,-0.00945771,0.009712457
2019/1/14,0.02095077,0.018020014,0.024912143,0.024912143,-0.009922664
2019/1/15,0,0,0,0,0.02026214
2019/1/16,0.006968125,0.006444877,0.01386895,0.01395924,0.001197543
2019/1/17,0.020779128,0.020693566,0.02179283,0.022620653,-0.004144812
2019/1/18,0.013760707,0.011506007,0.006774453,0.006866688,0.019404532
2019/1/21,-0.018249475,-0.015124454,-0.020258078,-0.021169279,0.006256404
2019/1/22,0.00153283,0.00518116,0.00827485,0.008704947,-0.012848578
2019/1/23,0.011504146,0.014430854,0.009274373,0.009621018,-0.001742313
2019/1/24,0.014327104,0.015733969,0.010282718,0.010943779,0.006054444
2019/1/25,-0.007703936,-0.008380524,-0.016749496,-0.017797493,0.012472372
2019/1/28,0.008851431,0.00976263,0.0175535,0.019193152,-0.001889673
2019/1/29,-0.008952213,-0.007028911,-0.004941504,-0.005474986,0.007743331
2019/1/30,0.023927316,0.02354723,0.019497113,0.021829494,-0.006466966
2019/1/31,0.00886741,0.010933703,0.014938935,0.016359062,0.017809852
2019/2/1,0.013986439,0.007546157,0.011823021,0.013910045,0.006512377
2019/2/11,0.001213345,0.004688664,0.012401525,0.013790597,0.011133344
2019/2/12,0.025476887,0.021957374,0.024222888,0.027062816,0.002258421
2019/2/13,-0.003119294,-0.001861084,-0.000270341,-0.000197775,0.01872345
2019/2/14,-0.024367061,-0.025314149,-0.023705774,-0.025943904,-0.001668364
2019/2/15,0.03146371,0.034096901,0.034362063,0.039322837,-0.022840453
2019/2/18,0.006955315,0.001426138,-0.001694348,-0.001537346,0.025974174
2019/2/19,0.011456557,0.009272861,0.002525771,0.002628615,-0.001473139
2019/2/20,-0.007397515,-0.005164744,-0.001292043,-0.003017402,0.003536075
2019/2/21,0.031629929,0.029994481,0.016365006,0.021073546,-0.004227125
2019/2/22,0.062903488,0.059230363,0.037705485,0.047017266,0.017789712
2019/2/25,-0.016183619,-0.01738073,-0.008383944,-0.009179754,0.062760382
2019/2/26,0.009167157,0.006557586,-2.53E-05,0.001827782,-0.019298427
2019/2/27,-0.008578203,0.000161783,0.009228045,0.010019556,0.006012874
2019/2/28,0.046490792,0.03845547,0.024548687,0.034059798,-0.002315169
2019/3/1,-0.000795476,0.004855326,0.012298458,0.013850388,0.027513587
2019/3/4,-0.007209896,-0.007154438,-0.004451247,-0.005180136,0.004653254
2019/3/5,0.006815557,0.002756673,0.001465447,0.003382648,-0.00131304
2019/3/6,-0.012510931,-0.021397103,-0.018876173,-0.023405202,0.004031011
2019/3/7,-0.035674258,-0.028535832,-0.019899216,-0.028508208,-0.017805198
2019/3/8,0.012301099,0.007476476,0.004992673,0.007938045,-0.037318743
2019/3/11,-0.002985044,0.002253574,0.008134955,0.008332789,0.008566528
2019/3/12,-0.004253645,4.12E-05,-0.006557106,-0.004380371,0.004125566
2019/3/13,0.000223335,0.005564703,0.004525519,0.005753741,0.001540239
2019/3/14,0.010623724,0.01536731,0.017211973,0.022637763,0.001898191
2019/3/15,0.028082631,0.030358864,0.015324771,0.0218914,0.009773399
2019/3/18,-0.008739986,-0.012249938,-0.00667486,-0.010135642,0.025175363
2019/3/19,0.000383875,0.00515201,0.006837475,0.009528157,-0.00647296
2019/3/20,-0.001874571,-0.002549949,0.005107585,0.007838648,0.002145252
2019/3/21,-0.003967877,-0.00072296,-0.005567558,-0.007813812,-0.00353839
2019/3/22,-0.034849699,-0.035433661,-0.024229958,-0.036193909,-0.002702068
2019/3/25,-0.008387613,-0.004384153,-0.001511164,-0.0029321,-0.027620538
2019/3/26,0.010227335,0.018368983,0.015570706,0.026924035,-0.004424651
2019/3/27,-0.001253629,0.0035688,0.003442018,0.008213721,0.013094969
2019/3/28,0.049258429,0.046218152,0.022091103,0.034918771,-0.002778095
2019/3/29,0.013328316,0.01088983,0.013925123,0.018869461,0.038234119
2019/4/1,-0.000972699,-0.002010867,-0.003618899,-0.0047973,0.019064117
2019/4/2,0.013937088,0.012054387,0.012651484,0.014668631,-0.00141346
2019/4/3,0.018256432,0.020329335,0.016448891,0.017761881,0.010895125
2019/4/4,0.011616842,0.014663984,0.010958603,0.021010084,0.010953249
2019/4/8,-0.00855299,-0.008122919,-0.006371516,-0.01076463,0.003485824
2019/4/9,0.006785945,0.014250298,0.010733946,0.016232429,0.001768472
2019/4/10,-0.016090252,-0.021285425,-0.021084676,-0.033548366,0.003903908
2019/4/11,-0.005052504,-0.006416294,-0.004573805,-0.00391596,-0.017009072
2019/4/12,-0.001131176,-0.00426551,-0.002075154,-0.003176321,-0.00270169
2019/4/15,0.026274972,0.029103407,0.016405076,0.027149634,0.001510213
2019/4/16,0.00257819,0.002438078,0.00314059,-0.005189145,0.033539177
2019/4/17,-0.003661675,-0.005356808,-0.003549759,-0.003008905,-0.001855459
2019/4/18,0.017166416,0.011162566,0.004796269,0.009733558,-0.004139866
2019/4/19,-0.029562243,-0.03008157,-0.027470169,-0.041356609,0.012482044
2019/4/22,0.008380679,0.012834716,0.00205886,0.006328006,-0.023646904
2019/4/23,-0.003403785,0.000866888,-0.000352523,-0.001322523,0.002813376
2019/4/24,-0.014749645,-0.016039141,-0.012212132,-0.014609808,-0.001342064
2019/4/25,-0.001152976,-0.008174415,-0.004986342,-0.005873765,-0.015749481
2019/4/26,0.018560027,0.021162777,0.013103844,0.029733563,-0.012000772
2019/4/29,-0.005057344,-0.004790421,0.000755128,-0.003645451,0.016090738
2019/4/30,-0.063749184,-0.057004184,-0.027335413,-0.049275734,0.001986388
2019/5/6,-0.000748425,0.001329933,0.01009008,0.017201289,-0.047605023
2019/5/7,-0.016462587,-0.014509739,-0.009712391,-0.020162402,0.000435752
2019/5/8,-0.025618709,-0.022622889,-0.009208733,-0.022324032,-0.01710969
2019/5/9,0.035648627,0.045019916,0.017628535,0.034748182,-0.021558321
2019/5/10,-0.030940478,-0.021926235,-0.013035053,-0.020248672,0.035193119
2019/5/13,-0.001978088,-0.007202401,-0.004097831,-0.007685608,-0.01884454
2019/5/14,0.021259606,0.027338028,0.012572891,0.031458386,-0.005974984
2019/5/15,0.000804376,0.001344816,0.004024485,0.002149596,0.021583834
2019/5/16,-0.019706053,-0.023217216,-0.014194607,-0.026113744,0.002827582
2019/5/17,-0.00542846,-0.011656679,-0.007477162,-0.017466035,-0.020133949
2019/5/20,0.008433982,0.010469286,0.006884012,0.015391257,-0.007231943
2019/5/21,-0.009182641,-0.006240373,-0.004290785,-0.00439159,0.00896863
2019/5/22,-0.017694686,-0.019989862,-0.011499252,-0.016318609,-0.005128468
2019/5/23,0.006748817,0.011701257,0.003643663,0.008301803,-0.014601827
2019/5/24,0.010608713,0.008381564,0.004761515,0.009757173,0.005991064
2019/5/27,0.010889353,0.014222377,0.012432262,0.016199492,0.007516325
2019/5/28,0.014153297,0.009935492,-0.000486394,0.006656085,0.009721142
2019/5/29,-0.008772266,-0.007656021,-0.006448173,-0.010455185,0.002549987
2019/5/30,-0.008377913,-0.012018563,-0.001944057,-0.004142203,-0.00466092
2019/5/31,0.007946669,0.004620009,0.002555109,0.004140037,-0.005110385
2019/6/3,-0.004016734,-0.00862186,-0.002550478,-0.013278021,0.005173609
2019/6/4,0.000622725,-0.0002448,-0.001687389,-0.012449028,-0.007929271
2019/6/5,-0.002751134,-0.007219151,0.001178931,-0.003634037,-0.00063168
2019/6/6,0.006052976,0.009274846,0.002150886,0.010586656,-0.004718644
2019/6/10,0.018478551,0.032536605,0.014280659,0.03546457,0.013526272
2019/6/11,-0.0049305,-0.0036593,0.001859238,0.000455031,0.025342548
2019/6/12,-0.000259051,0.001409883,-0.002049281,0.001893356,-0.005747345
2019/6/13,-0.006339439,-0.002993324,-0.003170438,-0.002619534,-0.000785131
