,datadate,turbulence
1206,20161221,13.228312740685567
1207,20161222,13.733899974142858
1208,20161223,13.206397508303986
1209,20161226,13.962494717705365
1210,20161227,13.048869577040367
1211,20161228,13.095552044805519
1212,20161229,12.010215447306464
1213,20161230,12.898859126683307
1214,20170103,14.574277041396222
1215,20170104,18.465429406219307
1216,20170105,18.59497435364225
1217,20170106,20.61993629737767
1218,20170109,19.588531866288715
1219,20170110,19.20979319278744
1220,20170111,17.11961038641753
1221,20170112,18.120210120024588
1222,20170113,19.094696976140398
1223,20170116,18.828085248908767
1224,20170117,20.06610537920643
1225,20170118,20.959459967771274
1226,20170119,18.62693129118322
1227,20170120,18.532135183749887
1228,20170123,17.557557971431024
1229,20170124,21.077193693772525
1230,20170125,20.197543281084982
1231,20170126,18.19980518646365
1232,20170203,20.08377451031536
1233,20170206,18.384700053964796
1234,20170207,18.335691135774127
1235,20170208,17.640835693730757
1236,20170209,21.65035587469997
1237,20170210,20.953522413371722
1238,20170213,18.89663998960106
1239,20170214,19.885177734865913
1240,20170215,16.724651523419602
1241,20170216,16.60999315247896
1242,20170217,16.447036711631704
1243,20170220,18.487997488620735
1244,20170221,17.804801000570045
1245,20170222,22.467155043592356
1246,20170223,20.321426380803235
1247,20170224,17.612857831478877
1248,20170227,16.631322316603487
1249,20170228,16.996890091169995
1250,20170301,17.51520357215223
1251,20170302,18.285261131151316
1252,20170303,17.287861793955415
1253,20170306,15.879031929214754
1254,20170307,17.34375364898228
1255,20170308,17.337321971300106
1256,20170309,16.685490207482196
1257,20170310,17.519637670109766
1258,20170313,17.899681451840586
1259,20170314,21.09571136336535
1260,20170315,27.292347151429606
1261,20170316,25.502536107280395
1262,20170317,27.15091094813675
1263,20170320,28.844341371365324
1264,20170321,29.319882691332406
1265,20170322,31.312184564701226
1266,20170323,30.63022101104052
1267,20170324,25.691228011040288
1268,20170327,22.71877945040846
1269,20170328,23.83658688943668
1270,20170329,23.188604982898887
1271,20170330,21.220275423316693
1272,20170331,21.471386971071766
1273,20170405,24.671067992309275
1274,20170406,25.934146627513275
1275,20170407,26.037292592813227
1276,20170410,27.20685137874956
1277,20170411,24.400556031851163
1278,20170412,22.197904585312042
1279,20170413,25.412981471133403
1280,20170414,24.475236005333688
1281,20170417,22.87333472042084
1282,20170418,23.691387405599148
1283,20170419,23.930378219025478
1284,20170420,27.778786478612854
